Page title,Page URL,Language,Platform,UR,Referring domains,Top DR,Links to target,New Links,Lost Links,Dofollow,Nofollow,Redirects,Page HTTP code,First seen,Last seen
,https://brasserieautandem.fr/,,,,103,93,123,91,65,86,37,0,,2022-07-09 00:05:28,2026-05-19 14:10:27
,http://brasserieautandem.fr/,,,,7,52,7,5,4,6,1,0,,2024-03-21 11:48:54,2026-05-17 12:01:04
